"id","name","cost","converted_cost","type","text","stats","rarity"
198981,"Stolen by the Fae","{X}{U}{U}",2,"Sorcery","Return target creature with converted mana cost X to its owner's hand. You create X 1/1 blue Faerie creature tokens with flying.",,"rare"
192783,"Eternal Isolation","{1}{W}",2,"Sorcery","Put target creature with power 4 or greater on the bottom of its owner's library.",,"uncommon"
192504,"Corpse Knight","{W}{B}",2,"Creature - Zombie Knight","Whenever another creature enters the battlefield under your control, each opponent loses 1 life.","2/2","uncommon"
183427,"Orzhov Enforcer","{1}{B}",2,"Creature - Human Rogue","Deathtouch\nAfterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","1/2","uncommon"
198811,"Worthy Knight","{1}{W}",2,"Creature - Human Knight","Whenever you cast a Knight spell, create a 1/1 white Human creature token.","2/2","rare"
198388,"Lovestruck Beast","{2}{G}",3,"Creature - Beast Noble","Lovestruck Beast can't attack unless you control a 1/1 creature.","5/5","rare"
192868,"Boreal Elemental","{4}{U}",5,"Creature - Elemental","Flying\nSpells your opponents cast that target Boreal Elemental cost {2} more to cast.","3/4","common"
182954,"Mass Manipulation","{X}{X}{U}{U}{U}{U}",4,"Sorcery","Gain control of X target creatures and/or planeswalkers.",,"rare"
199259,"Stonecoil Serpent","{X}",0,"Artifact Creature - Snake","Reach, trample, protection from multicolored\nStonecoil Serpent enters the battlefield with X +1/+1 counters on it.","0/0","rare"
183408,"Bladebrand","{1}{B}",2,"Instant","Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)\nDraw a card.",,"common"
198855,"Harmonious Archon","{4}{W}{W}",6,"Creature - Archon","Flying\nNon-Archon creatures have base power and toughness 3/3.\nWhen Harmonious Archon enters the battlefield, create two 1/1 white Human creature tokens.","4/5","mythic"
183059,"Smelt-Ward Ignus","{1}{R}",2,"Creature - Elemental","{2}{R}, Sacrifice Smelt-Ward Ignus: Gain control of target creature with power 3 or less until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.","2/1","uncommon"
176779,"Thousand-Year Storm","{4}{U}{R}",6,"Enchantment","Whenever you cast an instant or sorcery spell, copy it for each other instant and sorcery spell you've cast before it this turn. You may choose new targets for the copies.",,"mythic"
183395,"Gravel-Hide Goblin","{1}{R}",2,"Creature - Goblin Shaman","{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.","2/1","common"
183332,"Gateway Sneak","{2}{U}",3,"Creature - Vedalken Rogue","Whenever a Gate enters the battlefield under your control, Gateway Sneak can't be blocked this turn.\nWhenever Gateway Sneak deals combat damage to a player, draw a card.","1/3","uncommon"
176641,"Vivid Revival","{4}{G}",5,"Sorcery","Return up to three target multicolored cards from your graveyard to your hand. Exile Vivid Revival.",,"rare"
198815,"Command Tower",,0,"Land","{T}: Add one mana of any color in your commander's color identity.",,"common"
192954,"Ironclad Krovod","{3}{W}",4,"Creature - Beast",,"2/5","common"
199497,"Venture Deeper","{U}",1,"Sorcery - Adventure","Target player puts the top four cards of their library into their graveyard. (Then exile this card. You may cast the creature later from exile.)",,"common"
176727,"Enhanced Surveillance","{1}{U}",2,"Enchantment","You may look at an additional two cards each time you surveil.\nExile Enhanced Surveillance: Shuffle your graveyard into your library.",,"uncommon"
199003,"Syr Elenora, the Discerning","{3}{U}{U}",5,"Legendary Creature - Human Knight","Syr Elenora, the Discerning's power is equal to the number of cards in your hand.\nWhen Syr Elenora enters the battlefield, draw a card.\nSpells your opponents cast that target Syr Elenora cost {2} more to cast.","*/4","uncommon"
188391,"Topple the Statue","{2}{W}",3,"Instant","Tap target permanent. If it's an artifact, destroy it.\nDraw a card.",,"common"
192609,"Temple of Triumph",,0,"Land","Temple of Triumph enters the battlefield tapped.\nWhen Temple of Triumph enters the battlefield, scry 1.\n{T}: Add {R} or {W}.",,"rare"
192593,"Rotting Regisaur","{2}{B}",3,"Creature - Zombie Dinosaur","At the beginning of your upkeep, discard a card.","7/6","rare"
183428,"Sagittars' Volley","{2}{G}",3,"Instant","Destroy target creature with flying. Sagittars' Volley deals 1 damage to each creature with flying your opponents control.",,"common"
188715,"Command the Dreadhorde","{4}{B}{B}",6,"Sorcery","Choose any number of target creature and/or planeswalker cards in graveyards. Command the Dreadhorde deals damage to you equal to the total converted mana cost of those cards. Put them onto the battlefield under your control.",,"rare"
183327,"Colossus","{R}{G}",4,"Instant","Target creature gets +4/+2 and gains trample until end of turn.",,"uncommon"
183218,"Revenge","{4}{W}{B}",8,"Sorcery","Double your life total. Target opponent loses half their life, rounded up.",,"rare"
176777,"Divine Visitation","{3}{W}{W}",5,"Enchantment","If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.",,"mythic"
188167,"Primordial Wurm","{4}{G}{G}",6,"Creature - Wurm",,"7/6","common"
176931,"Torch Courier","{R}",1,"Creature - Goblin","Haste\nSacrifice Torch Courier: Another target creature gains haste until end of turn.","1/1","common"
199388,"Castle Locthwain",,0,"Land","Castle Locthwain enters the battlefield tapped unless you control a Swamp.\n{T}: Add {B}.\n{1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.",,"rare"
198782,"Clackbridge Troll","{3}{B}{B}",5,"Creature - Troll","Trample, haste\nWhen Clackbridge Troll enters the battlefield, target opponent creates three 0/1 white Goat creature tokens.\nAt the beginning of combat on your turn, any opponent may sacrifice a creature. If a player does, tap Clackbridge Troll, you gain 3 life, and you draw a card.","8/8","rare"
199546,"Signpost Scarecrow","{4}",4,"Artifact Creature - Scarecrow","Vigilance\n{2}: Add one mana of any color.","2/4","common"
192826,"Angelic Gift","{1}{W}",2,"Enchantment - Aura","Enchant creature\nWhen Angelic Gift enters the battlefield, draw a card.\nEnchanted creature has flying.",,"common"
189004,"Kasmina, Enigmatic Mentor","{3}{U}",4,"Legendary Planeswalker - Kasmina","Spells your opponents cast that target a creature or planeswalker you control cost {2} more to cast.\n[−2]: Create a 2/2 blue Wizard creature token. Draw a card, then discard a card.","5","uncommon"
183434,"Thirsting Shade","{B}",1,"Creature - Shade","Lifelink\n{2}{B}: Thirsting Shade gets +1/+1 until end of turn.","1/1","common"
192603,"Uncaged Fury","{2}{R}",3,"Instant","Target creature gets +1/+1 and gains double strike until end of turn. (It deals both first-strike and regular combat damage.)",,"uncommon"
175585,"Sumala Woodshaper","{2}{G}{W}",4,"Creature - Elf Druid","When Sumala Woodshaper enters the battlefield, look at the top four cards of your library. You may reveal a creature or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.","2/1","common"
199346,"Fae of Wishes","{1}{U}",2,"Creature - Faerie Wizard","Flying\n{1}{U}, Discard two cards: Return Fae of Wishes to its owner's hand.","1/4","rare"
192614,"Raise the Alarm","{1}{W}",2,"Instant","Create two 1/1 white Soldier creature tokens.",,"common"
192650,"Lavakin Brawler","{3}{R}",4,"Creature - Elemental Warrior","Whenever Lavakin Brawler attacks, it gets +1/+0 until end of turn for each Elemental you control.","2/4","common"
176430,"Command the Storm","{4}{R}",5,"Instant","Command the Storm deals 5 damage to target creature.",,"common"
199427,"Stormfist Crusader","{B}{R}",2,"Creature - Human Knight","Menace\nAt the beginning of your upkeep, each player draws a card and loses 1 life.","2/2","rare"
188653,"Storm the Citadel","{4}{G}",5,"Sorcery","Until end of turn, creatures you control get +2/+2 and gain ""Whenever this creature deals combat damage to a player or planeswalker, destroy target artifact or enchantment defending player controls.""",,"uncommon"
198357,"Oko, Thief of Crowns","{1}{G}{U}",3,"Legendary Planeswalker - Oko","[+2]: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n[+1]: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3.\n[−5]: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less.","4","mythic"
176921,"Rubblebelt Boar","{3}{R}",4,"Creature - Boar","When Rubblebelt Boar enters the battlefield, target creature gets +2/+0 until end of turn.","3/3","common"
192619,"Ferocious Pup","{2}{G}",3,"Creature - Wolf","When Ferocious Pup enters the battlefield, create a 2/2 green Wolf creature token.","0/1","common"
188173,"Mayhem Devil","{1}{B}{R}",3,"Creature - Devil","Whenever a player sacrifices a permanent, Mayhem Devil deals 1 damage to any target.","3/3","uncommon"
175176,"Conclave Tribunal","{3}{W}",4,"Enchantment","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWhen Conclave Tribunal enters the battlefield, exile target nonland permanent an opponent controls until Conclave Tribunal leaves the battlefield.",,"uncommon"
192652,"Squad Captain","{4}{W}",5,"Creature - Human Soldier","Vigilance (Attacking doesn't cause this creature to tap.)\nSquad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.","2/2","common"
176826,"Chance for Glory","{1}{R}{W}",3,"Instant","Creatures you control gain indestructible. Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.",,"mythic"
199524,"Memory Theft","{2}{B}",3,"Sorcery","Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. You may put a card that has an Adventure that player owns from exile into that player's graveyard.",,"common"
198401,"Smitten Swordmaster","{1}{B}",2,"Creature - Human Knight","Lifelink","2/1","common"
192878,"Sage's Row Denizen","{2}{U}",3,"Creature - Vedalken Wizard","Whenever another blue creature enters the battlefield under your control, target player puts the top two cards of their library into their graveyard.","2/3","common"
182409,"Sphinx's Insight","{2}{W}{U}",4,"Instant","Draw two cards.\nAddendum - If you cast this spell during your main phase, you gain 2 life.",,"common"
175185,"Rosemane Centaur","{3}{G}{W}",5,"Creature - Centaur Soldier","Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nVigilance","4/4","common"
183367,"Senate Griffin","{2}{W/U}{W/U}",4,"Creature - Griffin","Flying\nWhen Senate Griffin enters the battlefield, scry 1.","3/2","common"
188865,"Price of Betrayal","{B}",1,"Sorcery","Remove up to five counters from target artifact, creature, planeswalker, or opponent.",,"uncommon"
198749,"Murderous Rider","{1}{B}{B}",3,"Creature - Zombie Knight","Lifelink\nWhen Murderous Rider dies, put it on the bottom of its owner's library.","2/3","rare"
188512,"Jace's Triumph","{2}{U}",3,"Sorcery","Draw two cards. If you control a Jace planeswalker, draw three cards instead.",,"uncommon"
176915,"Maximize Velocity","{R}",1,"Sorcery","Target creature gets +1/+1 and gains haste until end of turn.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",,"common"
182832,"Simic Guildgate",,0,"Land - Gate","Simic Guildgate enters the battlefield tapped.\n{T}: Add {G} or {U}.",,"common"
183193,"Archway Angel","{5}{W}",6,"Creature - Angel","Flying\nWhen Archway Angel enters the battlefield, you gain 2 life for each Gate you control.","3/4","uncommon"
192968,"Snapping Drake","{3}{U}",4,"Creature - Drake","Flying (This creature can't be blocked except by creatures with flying or reach.)","3/2","common"
198399,"The Circle of Loyalty","{4}{W}{W}",6,"Legendary Artifact","This spell costs {1} less to cast for each Knight you control.\nCreatures you control get +1/+1.\nWhenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.\n{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.",,"mythic"
198976,"Reave Soul","{1}{B}",2,"Sorcery","Destroy target creature with power 3 or less.",,"common"
